DN20020 ,Modina Gen.Store 
23.81312167, 90.36419167
DN30019 ,Hot & Fresh 
23.74385167, 90.38552333
DN20025 ,Rifat Store 
23.78657, 90.41225
DN20016 ,Allahar Dan Store 
23.77134833, 90.42781333
DSEB-0019 ,Fair Distribution 
23.61359833, 90.51481667
DN20025 ,Bhai Bon Store 
23.78424333, 90.41272
DN20025 ,Akota General Store 
23.785395, 90.41137333
DSWB-0014 ,Asifa Medicine & Cosmetics 
23.70312833, 90.37608167
DN10026 ,City Bazar 
23.78981, 90.374225
DSWB-0007 ,Chourangi Confectionery 
23.7045042, 90.4238593
DN30009 ,MR enterprise 
23.95350333, 90.37594833
DN10005 ,Saima General Store 
23.832405, 90.388795
DN30018 ,Chowdhury Store -1 
23.78355333, 90.34616167
DN10011 ,Invesment Club 
23.9461429, 90.2729752
DSEA0014 ,Redoy Store 
23.609725, 90.42013667
DN20028 ,Muslim Sweets 
23.82169833, 90.37378667
DN10015 ,khaja baba store 
24.02587167, 90.248955
DN20022 ,Zia Store 
23.84571333, 90.27307667
DN30018 ,Nazrul & Sons 
23.783985, 90.34736833
DN20021 ,Anwar Store 
23.76469667, 90.352515
DSWB-0014 ,Jumka Dep. Store 
23.70002667, 90.381815
DN30019 ,Mayer Doya G/Store 
23.7438344, 90.3815216
DN20021 ,Polli Bazar 
23.7392927, 90.3590911
DN30019 ,Mahin G /Store 
23.7438344, 90.3815216
DN20021 ,Bissmilla Store 
23.7467, 90.34614833
DSEA0014 ,Hazi varitise store 
23.609945, 90.41652667
DN10011 ,Moon Cosmetics 
23.95976, 90.270245
DSEA-0021 ,Manik Store 
23.74067667, 90.42368
DN20019 ,Bismillah Store 
23.76026667, 90.40513333
DN20016 ,Shafiullah General Store 
23.7754208, 90.4222714
DN10011 ,Shathi Confectionary 
23.97985333, 90.26575167
DN30018 ,Shamima Family Needs 
23.79393, 90.34852667
DSEA0014 ,Adarsha Telecom 
23.5697, 90.446375
DN30005 ,jubayer store 
23.90908667, 90.404405
DN20020 ,Mim General Store 
23.8167163, 90.3663435
DN10026 ,Butter Cup 
23.79706667, 90.372085
DN20015 ,Bismillah Departmental Store 
23.83040667, 90.37778833
DN20020 ,The Dhaka Bazar 
23.810015, 90.36384833
DSEA-0021 ,Sultan Traders 
23.7335098, 90.4247432
DN20019 ,Alif Food Corner 
23.76298, 90.40920667
DN20028 ,Muslim Sweets & Confectionery 
23.81358167, 90.37146167
DN20021 ,Kawsar Store 
23.75270667, 90.36151167
DN20025 ,Alhaz Store 
23.783875, 90.40517667
DN20007 ,Anower G Store 
23.75979667, 90.38592333
DN30006 ,M/S Everyday Needs-1 
23.874879, 90.4012175
DN30019 ,Shakil G Store 
23.7438344, 90.3815216
DSWA-0013 ,Mohiuddin Store 
23.55200333, 90.49616167
DN20016 ,Ayan Store 
23.77670833, 90.42122667
DN20025 ,Ibrahim Store 
23.78659167, 90.413035
DN30006 ,Tacos Shop-1 
23.878865, 90.39064667
DN10005 ,Rashid telecom 
23.83122833, 90.388975
DN30006 ,Ma Departmental Store 
23.874879, 90.4012175
DN20020 ,Shefat General Store 
23.81471833, 90.36216167
DN20022 ,Keya gen.store 
23.85131, 90.26365667
DN20022 ,Mirza Ent. 
23.85366667, 90.27602667
DN20015 , 17 ECB Canteen 
23.83046667, 90.37685
DN20028 ,Akhi Store 
23.81618333, 90.37551333
N20016 ,Impex Super Shop 
23.77176833, 90.42005167
DN10026 ,Muslims Sweets 
23.7955118, 90.3715324
DN10026 ,Vaggokul Mistanno Vander 
23.79115, 90.37564
DN20019 ,Sazad Store 
23.76595333, 90.41065167
DN20016 ,Sree Ram Kathi General Store 
23.771065, 90.4272448
DSWB-0007 ,M/S Mohammadia Store 
23.701215, 90.42463333
DN20025 ,Mayer Dua Store 
23.78413333, 90.41116333
DN20021 ,Shajahan St 
23.73711, 90.359715
DN20021 ,Depa Va.Store 
23.73687, 90.35779833
DSWB-0007 , Dhaka Confectionery Sweets 
23.7045042, 90.4238593
DSWB-0014 ,Dihan Store 
23.7056, 90.36638
DN30009 ,Maa Babar duo 
23.95363333, 90.37917167
DN30019 ,Bhai Bhai Confectionery 
23.74071167, 90.39229167
DSEA0014 ,Tanvir store 
23.54598, 90.46012833
